번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자,지적유형,검토기관,검토일,미흡_우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
11,C0019-0020,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,gsfire119,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A43
12,C0019-0022,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,jiggydogg,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A31
13,C0019-0024,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,duaghdrl,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C03
14,C0019-0027,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,cwhydro1,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A55
15,C0019-0029,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,TSURUMI77,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A66
16,C0019-0031,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,buradu,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C12
17,C0019-0034,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,shimjc98,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A33
18,C0019-0036,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,kimjy0821,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A60
19,C0019-0038,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,sunae5272,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A38
20,C0019-0040,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,jspark,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A70
21,C0019-0042,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,sys230314,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A06
22,C0019-0044,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,3zvalve1,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A47
23,C0019-0047,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,swchoi,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C09
24,C0019-0049,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,bhi7102m,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A59
25,C0019-0052,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,parkjinhong,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C07
26,C0019-0055,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,ktjsals1,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A02
27,C0019-0057,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,jyshin0282,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A46
28,C0019-0060,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,hiairha,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A37
29,C0019-0062,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,kimgs8911,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C03
30,C0019-0064,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,lge253507,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A54
