관리번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자ID,지적유형,검토기관,검토일,미흡/우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통/기타),위배 내용
2037,C0011-0108,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,nhkim227,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A56
2038,C0011-0109,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,wisecontrol,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A51
2046,C0010-0101,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,permedia3,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A06
2047,C0010-0102,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,juni2684,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C05
2048,C0010-0103,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,hajj3388,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A02
2049,C0010-0104,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,duonsystem,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A09
2050,C0010-0105,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,sstechmy,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A67
2051,C0010-0106,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,NAMDOENG,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A62
2052,C0010-0107,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,sooheonkim,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A61
2053,C0010-0108,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,nhkim227,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A41
2054,C0010-0109,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,wisecontrol,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A33
2055,C0010-0110,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,재료규격서 요건 미달,2020-09-11 13:26,2020-09-11 13:26,kti507349,QSDR,검사업체,2020-08-12,"터빈추기 역류방지 밸브 자재성적서(Body)의 항복강도(Yield Strength) 값이 아래와 같이 불일치 함. 밸브 (Class 150, 36"") - ASTM A217-WC9 (Table 2 Tensile Requirements) : min. 275 MPa - 자재성적서(MTR-SK56J236-039/Heat No. : 17NDA/1-1) : 270 Mpa",재료규격 ASTM A217('08) - WC9 - WC9 항복강도 : min. 275 MPa,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A10
2056,C0011-0014,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,banabayo,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A62
2057,C0011-0015,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,sessamo,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A54
2058,C0011-0016,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,nkfire15,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A01
2059,C0011-0017,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,haji59k11,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A34
