문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자 아이디,지적유형,검토기관,검토일,미흡_우수사항,관련근거,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
M0049-0023,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,jingo7878,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A56
M0049-0024,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,mgj1026,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,C09
M0049-0025,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,manilow72,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A70
M0049-0026,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,cwhydro1,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,C01
M0049-0027,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,wilopump1,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A09
M0049-0028,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,TSURUMI77,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A10
M0049-0029,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,0bbe6fad4914,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A01
E0016-0001,건설,새울3-4(신고리5-6),5-6호기공용,계전,공통,검사업체,LED Lamp 자재확인 및 자재성적서 검토 불일치,2021-12-13,2021-12-13,BKOCEN67,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 (SL-SKR56-D06-19 Rev.3),Panel 부품 등.,정보전달,,공통-panel-cable-변압기-계측기,,A33
E0016-0002,건설,새울3-4(신고리5-6),5-6호기공용,계전,공통,검사업체,LED Lamp 자재확인 및 자재성적서 검토 불일치,2021-12-13,2021-12-13,hylokkoreaqa,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 (SL-SKR56-D06-19 Rev.3),Panel 부품 등.,정보전달,,공통-panel-cable-변압기-계측기,,A05
E0016-0003,건설,새울3-4(신고리5-6),5-6호기공용,계전,공통,검사업체,LED Lamp 자재확인 및 자재성적서 검토 불일치,2021-12-13,2021-12-13,gisu1193,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 (SL-SKR56-D06-19 Rev.3),Panel 부품 등.,정보전달,,공통-panel-cable-변압기-계측기,,A33
E0016-0004,건설,새울3-4(신고리5-6),5-6호기공용,계전,공통,검사업체,LED Lamp 자재확인 및 자재성적서 검토 불일치,2021-12-13,2021-12-13,heohyun24,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 (SL-SKR56-D06-19 Rev.3),Panel 부품 등.,정보전달,,공통-panel-cable-변압기-계측기,,C06
E0016-0005,건설,새울3-4(신고리5-6),5-6호기공용,계전,공통,검사업체,LED Lamp 자재확인 및 자재성적서 검토 불일치,2021-12-13,2021-12-13,jmparkgood,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 (SL-SKR56-D06-19 Rev.3),Panel 부품 등.,정보전달,,공통-panel-cable-변압기-계측기,,A66
E0016-0006,건설,새울3-4(신고리5-6),5-6호기공용,계전,공통,검사업체,LED Lamp 자재확인 및 자재성적서 검토 불일치,2021-12-13,2021-12-13,korval96,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 (SL-SKR56-D06-19 Rev.3),Panel 부품 등.,정보전달,,공통-panel-cable-변압기-계측기,,A21
E0016-0007,건설,새울3-4(신고리5-6),5-6호기공용,계전,공통,검사업체,LED Lamp 자재확인 및 자재성적서 검토 불일치,2021-12-13,2021-12-13,sjvalve2,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 (SL-SKR56-D06-19 Rev.3),Panel 부품 등.,정보전달,,공통-panel-cable-변압기-계측기,,C04
E0012-0010,건설,새울3-4(신고리5-6),5-6호기공용,계전,변압기,검사업체,주변압기용 Local Control Panel 자재성적서 불일치,2021-12-13,2021-12-13,jhpark04,QSDR,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-811-E201 4.06.B.12.a Auxiliary Equipment Control and Alarm Voltage a. Equipment and direct current relays nominally rated at 125Vdc shall be suitable for continuous operation within a range of 105V to 140V.,Control Panel,정보전달,,panel,,A08
E0012-0011,건설,새울3-4(신고리5-6),5-6호기공용,계전,변압기,검사업체,주변압기용 Local Control Panel 자재성적서 불일치,2021-12-13,2021-12-13,YPP2010,QSDR,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-811-E201 4.06.B.12.a Auxiliary Equipment Control and Alarm Voltage a. Equipment and direct current relays nominally rated at 125Vdc shall be suitable for continuous operation within a range of 105V to 140V.,Control Panel,정보전달,,panel,,A07
E0012-0012,건설,새울3-4(신고리5-6),5-6호기공용,계전,변압기,검사업체,주변압기용 Local Control Panel 자재성적서 불일치,2021-12-13,2021-12-13,nadasnv1,QSDR,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-811-E201 4.06.B.12.a Auxiliary Equipment Control and Alarm Voltage a. Equipment and direct current relays nominally rated at 125Vdc shall be suitable for continuous operation within a range of 105V to 140V.,Control Panel,정보전달,,panel,,A53
E0012-0013,건설,새울3-4(신고리5-6),5-6호기공용,계전,변압기,검사업체,주변압기용 Local Control Panel 자재성적서 불일치,2021-12-13,2021-12-13,vitzro05,QSDR,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-811-E201 4.06.B.12.a Auxiliary Equipment Control and Alarm Voltage a. Equipment and direct current relays nominally rated at 125Vdc shall be suitable for continuous operation within a range of 105V to 140V.,Control Panel,정보전달,,panel,,A07
E0012-0014,건설,새울3-4(신고리5-6),5-6호기공용,계전,변압기,검사업체,주변압기용 Local Control Panel 자재성적서 불일치,2021-12-13,2021-12-13,sm935501,QSDR,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-811-E201 4.06.B.12.a Auxiliary Equipment Control and Alarm Voltage a. Equipment and direct current relays nominally rated at 125Vdc shall be suitable for continuous operation within a range of 105V to 140V.,Control Panel,정보전달,,panel,,C08
E0012-0015,건설,새울3-4(신고리5-6),5-6호기공용,계전,변압기,검사업체,주변압기용 Local Control Panel 자재성적서 불일치,2021-12-13,2021-12-13,voda7231,QSDR,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-811-E201 4.06.B.12.a Auxiliary Equipment Control and Alarm Voltage a. Equipment and direct current relays nominally rated at 125Vdc shall be suitable for continuous operation within a range of 105V to 140V.,Control Panel,정보전달,,panel,,A59
M0044-0001,건설,새울3-4(신고리5-6),5-6호기공용,기계,탱크,검사업체,Fuel Oil Day Tank 등 기술규격서 요건 불일치,2021-12-13,2021-12-13,BKOCEN67,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-593-M262(rev.1) Attachment 4-15 - Attachment 4-15에 명시된 공급사(Manufacture)는 TSM Tech.,Tank등 Supplier Tech Data 적용 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A33
M0044-0002,건설,새울3-4(신고리5-6),5-6호기공용,기계,탱크,검사업체,Fuel Oil Day Tank 등 기술규격서 요건 불일치,2021-12-13,2021-12-13,kimds5565,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-593-M262(rev.1) Attachment 4-15 - Attachment 4-15에 명시된 공급사(Manufacture)는 TSM Tech.,Tank등 Supplier Tech Data 적용 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A06
M0044-0003,건설,새울3-4(신고리5-6),5-6호기공용,기계,탱크,검사업체,Fuel Oil Day Tank 등 기술규격서 요건 불일치,2021-12-13,2021-12-13,seaheng1,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,기술규격서 9-593-M262(rev.1) Attachment 4-15 - Attachment 4-15에 명시된 공급사(Manufacture)는 TSM Tech.,Tank등 Supplier Tech Data 적용 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A43
M0047-0059,건설,새울3-4(신고리5-6),5-6호기공용,기계,열교환기,검사업체,치수보고서상 현장연결부 치수 기록,2021-12-13,2021-12-13,kimgs8911,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 : VP-17DP005-GSC-GA Rev.J,기계 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,,,C08
M0047-0060,건설,새울3-4(신고리5-6),5-6호기공용,기계,열교환기,검사업체,치수보고서상 현장연결부 치수 기록,2021-12-13,2021-12-13,juhg8911,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 : VP-17DP005-GSC-GA Rev.J,기계 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,,,A36
M0047-0061,건설,새울3-4(신고리5-6),5-6호기공용,기계,열교환기,검사업체,치수보고서상 현장연결부 치수 기록,2021-12-13,2021-12-13,lge253507,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 : VP-17DP005-GSC-GA Rev.J,기계 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,,,A03
M0047-0062,건설,새울3-4(신고리5-6),5-6호기공용,기계,열교환기,검사업체,치수보고서상 현장연결부 치수 기록,2021-12-13,2021-12-13,lww257205,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 : VP-17DP005-GSC-GA Rev.J,기계 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,,,A70
M0047-0063,건설,새울3-4(신고리5-6),5-6호기공용,기계,열교환기,검사업체,치수보고서상 현장연결부 치수 기록,2021-12-13,2021-12-13,LGE251319,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 : VP-17DP005-GSC-GA Rev.J,기계 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,,,A07
M0047-0064,건설,새울3-4(신고리5-6),5-6호기공용,기계,열교환기,검사업체,치수보고서상 현장연결부 치수 기록,2021-12-13,2021-12-13,hjw10521052,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 : VP-17DP005-GSC-GA Rev.J,기계 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,,,A65
M0047-0065,건설,새울3-4(신고리5-6),5-6호기공용,기계,열교환기,검사업체,치수보고서상 현장연결부 치수 기록,2021-12-13,2021-12-13,goodluckmg,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,도면 : VP-17DP005-GSC-GA Rev.J,기계 품목,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,,,A54
